title,total_notes,mean_notes,weighted_average
Game of Thrones,20194,4.6691,4.543823543456001
Breaking Bad,12813,4.71966,4.526557717975692
Sherlock,7041,4.7049,4.4078175570086
Chernobyl,6300,4.69619,4.378932871549442
Friends,7076,4.6276,4.355707533264275
Le Seigneur des anneaux : Le Retour du roi,8099,4.56,4.3319136810973715
The Big Bang Theory,8851,4.5323,4.325812638338489
La Ligne verte,5749,4.64,4.323431758084976
The Queen's Gambit,7682,4.5591,4.322556091903351
Le Seigneur des anneaux : La Communauté de l'anneau,8686,4.51,4.306683704545414
Kaamelott,4237,4.7137,4.301122253958467
Le Seigneur des anneaux : Les Deux Tours,6976,4.52,4.279429525352775
Dexter,8543,4.47044,4.275483831181761
Vikings,5899,4.5406,4.264344547151562
Forrest Gump,6685,4.49,4.252117188574828
Peaky Blinders,4103,4.63612,4.250112401696101
Sense8,6266,4.4912,4.24240350690653
Le Roi lion,6752,4.47,4.240174758851122
Harry Potter à l'école des sorciers,11044,4.36,4.224161434982282
Fight Club,5824,4.48,4.223034037592288
Stranger Things,4527,4.53943,4.214742188954859
How I Met Your Mother,9142,4.3723,4.212358607944855
The Walking Dead,8927,4.3709,4.208499108497056
Black Mirror,5099,4.4866,4.204687051685365
The Dark Knight : Le Chevalier noir,6019,4.44,4.202400743508901
Malcolm in the Middle,4024,4.5577,4.202347504488922
Doctor Who (2005),2848,4.6984,4.199516571102693
The Good Place,6306,4.4191,4.195724516639261
Supernatural,3501,4.5973,4.195324333534996
Inception,9310,4.34,4.190505376268634
Django Unchained,6259,4.41,4.188608952533992
Harry Potter et les Reliques de la Mort - 2ème partie,9022,4.34,4.186988717636383
Brooklyn Nine-Nine,3421,4.5849,4.184096020780223
Shameless (US),2882,4.6572,4.182840122894025
Downton Abbey,3135,4.6147,4.18075949811552
Teen Wolf,5733,4.4155,4.1791249017223855
The Office (US),2760,4.6681,4.1781940929647625
The Vampire Diaries,7103,4.36295,4.17433714839425
Sons of Anarchy,3340,4.5698,4.1714608855391315
How to Get Away with Murder,4561,4.4545,4.1663836250349835
Gladiator,4791,4.44,4.165983882928388
Intouchables,11447,4.28,4.165461062859438
Retour vers le futur,5166,4.41,4.159757108623136
Harry Potter et le Prisonnier d'Azkaban,9721,4.29,4.1576968683373705
Le Voyage de Chihiro,3638,4.51,4.157049550958193
The Wire,2298,4.7132,4.155962397177431
L'Empire contre-attaque,4656,4.43,4.155376776694458
Hunter x Hunter (2011),2527,4.6549,4.152532214687237
Dix pour cent,3536,4.5074,4.1503609989673285
Grey's Anatomy,4216,4.4452,4.1477458746836415
Coco,3107,4.55,4.147072198170392
Interstellar,4914,4.4,4.145964704366595
This Is Us,2183,4.71049,4.1430093523357225
Attack on Titan,2346,4.6697,4.142435615236616
Naruto Shippuden,2666,4.6062,4.142339403774799
Death Note,3543,4.4905,4.141878233297197
Orphan Black,3851,4.4601,4.14050734870224
Lucifer,4609,4.4062,4.139718859517528
Desperate Housewives,7144,4.3112,4.139414922336927
Avengers : Infinity War,4366,4.42,4.139125197050514
Matrix,6085,4.34,4.138697922847866
Fringe,4049,4.4384,4.137125786798108
Le Retour du Jedi,4544,4.4,4.133859996139375
